track_title,artist_name,track_id,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,On_chart
Shotgun Shuffle,The Sunshine Band,2mnMP9SaME3l1KyvnTuYZn,170960,0.738,10,1,4,0.0609,0.659,0.687,0.0848,-12.276,0.0415,0.932,112.224,1
I Want'a Do Something Freaky To You,Leon Haywood,4ijuSvn7dE8i9o8Ori6QmC,303133,0.441,6,0,4,0.255,0.574,0.00316,0.229,-15.258,0.0306,0.911,92.158,1
Bad Blood,Neil Sedaka,5ABrBYbzepxzcW9pLIWw1j,189067,0.736,2,1,4,0.174,0.737,0.00217,0.236,-8.347000000000001,0.0458,0.862,148.711,1
Lyin' Eyes,Eagles,5lQKRR3MdJLtAwNBiT8Cq0,381999,0.6729999999999999,7,1,4,0.203,0.669,0.0271,0.16399999999999998,-9.754,0.0248,0.867,132.68,1
Salsoul Hustle,The Salsoul Orchestra,7hnXWme3X0JgQVpxeC5CkP,317040,0.76,5,0,4,0.0539,0.659,0.6759999999999999,0.0557,-10.800999999999998,0.0546,0.917,123.798,1
Sweet Sticky Thing,Ohio Players,49laJW6ENyr70qdlLNh3tr,372733,0.5820000000000001,1,0,4,0.201,0.532,0.0139,0.087,-12.297,0.0631,0.669,90.82,1
Born To Run,Bruce Springsteen,6hTcuIQa0sxrrByu9wTD7s,269920,0.944,4,1,4,0.0050100000000000006,0.27,2.05e-05,0.116,-4.199,0.0975,0.606,146.347,1
You,George Harrison,3OeUlriM0EZHdWleJtjoVr,234653,0.8540000000000001,4,1,4,0.465,0.767,2.03e-06,0.485,-6.947,0.0426,0.963,149.20600000000005,1
Something Better To Do,Olivia Newton-John,7x7eiPhnwODlzKrm4fupzW,195067,0.35200000000000004,0,1,4,0.5820000000000001,0.675,8.35e-05,0.107,-8.834,0.0317,0.421,107.355,1
Low Rider,War,7Bz8yww6UMbTgTVLG6zbI4,190827,0.644,0,1,4,0.0877,0.812,0.785,0.0563,-10.761,0.0493,0.989,140.075,1
Just Too Many People,Melissa Manchester,0G5nSGB8FrFrZC2MdwlV6f,209160,0.82,5,1,4,0.151,0.614,1.16e-06,0.138,-6.303,0.0433,0.5379999999999999,123.754,1
Are You Sure Hank Done It This Way,Waylon Jennings,4eH47ofIZbrbKwmLJSu5hb,175440,0.551,4,1,4,0.461,0.8340000000000001,0.135,0.116,-11.13,0.0295,0.73,113.843,1
Operator,The Manhattan Transfer,4pKarKccbSe3BzJZFnIsxt,192533,0.639,2,1,4,0.462,0.5720000000000001,8.68e-06,0.324,-8.301,0.0678,0.71,121.853,1
Diamonds And Rust,Joan Baez,4O0sGJdqpHMaWz7KoVd7tb,286107,0.343,5,0,4,0.243,0.506,0.0,0.141,-12.153,0.03,0.265,130.05200000000002,1
Keep On Tryin',Poco,3OiH3dDxHDnwOy4WaYST9Q,163600,0.467,11,1,4,0.787,0.573,0.0,0.871,-9.321,0.0287,0.6509999999999999,78.735,1
The Way I Want To Touch You,Captain & Tennille,7KdcZQ3GJeGdserhK61kfv,163587,0.585,0,0,4,0.624,0.664,0.000112,0.343,-7.062,0.0248,0.597,111.29,1
Leftovers,Millie Jackson,1jU7zLZf49TkQfz1CUlLya,272959,0.63,10,1,4,0.0635,0.748,0.0,0.0816,-10.262,0.0465,0.815,95.351,1
