Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-12-02,2022-12-03,7100,CHEVRON 0204974,Gas/Automotive,39.88,
2022-12-01,2022-12-03,7100,IZAKAYA GINJI RESTAURA,Dining,287.90,
2022-12-01,2022-12-02,7100,SMCCD CSM BOOKSTORE,Merchandise,3.00,
2022-12-01,2022-12-02,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-12-01,2022-12-02,7100,REDWOOD SKYLINE,Dining,8.76,
2022-12-01,2022-12-02,7100,Spotify USA,Phone/Cable,9.99,
2022-12-01,2022-12-02,7100,WANG DAE BAK,Dining,199.33,
2022-12-01,2022-12-01,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2400.00
2022-11-30,2022-12-01,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-30,2022-12-01,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-29,2022-11-30,7100,SMCCD CSM BOOKSTORE,Merchandise,7.00,
2022-11-29,2022-11-30,7100,MCDONALDS  F6641,Dining,12.22,
2022-11-29,2022-11-30,7100,DOORDASH DASHPASS,Dining,9.99,
2022-11-29,2022-11-30,7100,REDWOOD SKYLINE,Dining,3.83,
2022-11-28,2022-11-30,7100,IN N OUT BURGER 257,Dining,12.63,
2022-11-28,2022-11-29,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-28,2022-11-29,7100,CHEVRON 0096377,Gas/Automotive,43.49,
2022-11-28,2022-11-28,7100,APPLE.COM/BILL,Internet,14.99,
2022-11-28,2022-11-28,7100,APPLE.COM/BILL,Internet,0.99,
2022-11-27,2022-11-28,7100,DD DOORDASH MENDOCINO,Dining,21.49,
2022-11-23,2022-11-25,7100,TACO BELL 30796,Dining,8.17,
2022-11-23,2022-11-25,7100,SAFEWAY #0705,Merchandise,37.99,
2022-11-23,2022-11-25,7100,SMCCD CSM BOOKSTORE,Merchandise,9.05,
2022-11-23,2022-11-25,7100,SMCCD CSM BOOKSTORE,Merchandise,5.00,
2022-11-23,2022-11-25,7100,SMCCD CSM BOOKSTORE,Merchandise,3.25,
2022-11-23,2022-11-25,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-23,2022-11-25,7100,REDWOOD SKYLINE,Dining,7.24,
2022-11-23,2022-11-25,7100,WANG DAE BAK,Dining,135.00,
2022-11-22,2022-11-23,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-21,2022-11-22,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-21,2022-11-22,7100,REDWOOD SKYLINE,Dining,8.76,
2022-11-20,2022-11-22,7100,SAFEWAY #0705,Merchandise,41.51,
2022-11-21,2022-11-21,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2635.79
2022-11-18,2022-11-21,7100,WANG DAE BAK,Dining,250.00,
2022-11-20,2022-11-21,7100,CHEVRON 0096377,Gas/Automotive,45.50,
2022-11-19,2022-11-21,7100,JACK IN THE BOX 3425,Dining,11.44,
2022-11-20,2022-11-21,7100,DD DOORDASH TOMMYTHAI,Dining,25.09,
2022-11-18,2022-11-19,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-18,2022-11-19,7100,REDWOOD SKYLINE,Dining,14.47,
2022-11-17,2022-11-19,7100,WANG DAE BAK,Dining,141.00,
2022-11-17,2022-11-18,7100,SMCCD CSM BOOKSTORE,Merchandise,7.00,
2022-11-17,2022-11-18,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-17,2022-11-18,7100,REDWOOD SKYLINE,Dining,13.51,
2022-11-17,2022-11-18,7100,WANG DAE BAK,Dining,240.00,
2022-11-17,2022-11-18,7100,JACK IN THE BOX 3425,Dining,11.00,
2022-11-15,2022-11-17,7100,STONESTOWN GALLERIA RE,Dining,16.00,
2022-11-16,2022-11-17,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-17,2022-11-17,7100,CHEVRON 0096377,Gas/Automotive,49.30,
2022-11-16,2022-11-17,7100,REDWOOD SKYLINE,Dining,7.91,
2022-11-15,2022-11-17,7100,SAFEWAY #0705,Merchandise,8.42,
2022-11-15,2022-11-16,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-15,2022-11-16,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-16,2022-11-16,7100,AAA INSURANCE,Insurance,289.42,
2022-11-14,2022-11-15,7100,SMCCD CSM BOOKSTORE,Merchandise,9.75,
2022-11-14,2022-11-15,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-14,2022-11-15,7100,REDWOOD SKYLINE,Dining,6.02,
2022-11-14,2022-11-15,7100,AMZN Mktp US*HB8PP7YO0,Merchandise,127.63,
2022-11-12,2022-11-14,7100,SEAPOT,Dining,320.00,
2022-11-12,2022-11-14,7100,DD DOORDASH TOMMYTHAI,Dining,25.09,
2022-11-12,2022-11-14,7100,DD DOORDASH CHIPOTLE,Dining,19.52,
2022-11-10,2022-11-12,7100,TOP POT,Dining,267.31,
2022-11-11,2022-11-12,7100,WANG DAE BAK,Dining,140.00,
2022-11-11,2022-11-12,7100,AMZN Mktp US*HB5B39XZ1,Merchandise,129.49,
2022-11-10,2022-11-11,7100,SMCCD CSM BOOKSTORE,Merchandise,2.50,
2022-11-10,2022-11-11,7100,REDWOOD SKYLINE,Dining,8.76,
2022-11-10,2022-11-11,7100,REDWOOD SKYLINE,Dining,14.47,
2022-11-10,2022-11-11,7100,ATT* BILL PAYMENT,Phone/Cable,106.29,
2022-11-09,2022-11-11,7100,WANG DAE BAK,Dining,305.00,
2022-11-09,2022-11-11,7100,WANG DAE BAK,Dining,210.00,
2022-11-09,2022-11-10,7100,SMCCD CSM BOOKSTORE,Merchandise,5.69,
2022-11-09,2022-11-10,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-10,2022-11-10,7100,CHEVRON 0090838,Gas/Automotive,37.63,
2022-11-09,2022-11-10,7100,REDWOOD SKYLINE,Dining,8.63,
2022-11-08,2022-11-09,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-08,2022-11-09,7100,MAJIKKU RAMEN,Dining,160.00,
2022-11-08,2022-11-09,7100,REDWOOD SKYLINE,Dining,3.87,
2022-11-08,2022-11-09,7100,AMAZON.COM*H20SD7RL1 A,Merchandise,21.14,
2022-11-07,2022-11-08,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-07,2022-11-08,7100,AMAZON.COM*HB4P43L70 A,Merchandise,21.76,
2022-11-07,2022-11-08,7100,REDWOOD SKYLINE,Dining,8.36,
2022-11-06,2022-11-08,7100,TST* Steins Beer Garde,Dining,242.71,
2022-11-06,2022-11-08,7100,THE HOME DEPOT 6603,Merchandise,88.94,
2022-11-06,2022-11-07,7100,JTI*TWITCHTV SUB SRVCS,Other Services,4.99,
2022-11-06,2022-11-07,7100,TARGET        00032656,Merchandise,53.38,
2022-11-06,2022-11-07,7100,DD DOORDASH MENDOCINO,Dining,18.25,
2022-11-04,2022-11-05,7100,SMCCD CSM BOOKSTORE,Merchandise,6.06,
2022-11-04,2022-11-05,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-04,2022-11-05,7100,IZUMI SUSHI,Dining,260.00,
2022-11-04,2022-11-05,7100,REDWOOD SKYLINE,Dining,7.24,
2022-11-03,2022-11-05,7100,WANG DAE BAK,Dining,170.00,
2022-11-03,2022-11-04,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-03,2022-11-04,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-03,2022-11-04,7100,CHEVRON 0090838,Gas/Automotive,44.00,
2022-11-02,2022-11-04,7100,WANG DAE BAK,Dining,200.00,
2022-11-02,2022-11-03,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-02,2022-11-03,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-02,2022-11-03,7100,REDWOOD SKYLINE,Dining,8.90,
2022-11-02,2022-11-02,7100,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1702.33
2022-11-01,2022-11-02,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-01,2022-11-02,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-01,2022-11-02,7100,MAJIKKU RAMEN,Dining,160.00,
2022-11-01,2022-11-02,7100,REDWOOD SKYLINE,Dining,11.33,
2022-11-01,2022-11-02,7100,Spotify USA,Phone/Cable,9.99,
2022-10-31,2022-11-01,7100,SMCCD CSM BOOKSTORE,Merchandise,14.49,
2022-10-31,2022-11-01,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-11-01,2022-11-01,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1394.62
2022-10-31,2022-11-01,7100,REDWOOD SKYLINE,Dining,9.58,
2022-10-30,2022-11-01,7100,TACO BELL #28836,Dining,10.14,
2022-10-31,2022-11-01,7100,DD DOORDASH TOMMYTHAI,Dining,26.09,
2022-10-28,2022-10-31,7100,WANG DAE BAK,Dining,100.00,
2022-10-28,2022-10-31,7100,WANG DAE BAK,Dining,300.00,
2022-10-30,2022-10-31,7100,NBA League Pass,Phone/Cable,129.99,
2022-10-29,2022-10-31,7100,TST* Steins Beer Garde,Dining,116.55,
2022-10-30,2022-10-31,7100,DD DOORDASH TOMMYTHAI,Dining,25.00,
2022-10-29,2022-10-31,7100,DOORDASH DASHPASS,Dining,9.99,
2022-10-29,2022-10-31,7100,SQ *1-800-GOT-JUNK,Utilities,957.00,
2022-10-28,2022-10-29,7100,SMCCD CSM BOOKSTORE,Merchandise,3.00,
2022-10-28,2022-10-29,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-28,2022-10-29,7100,CHEVRON 0090838,Gas/Automotive,45.39,
2022-10-28,2022-10-29,7100,TOP POT,Dining,343.83,
2022-10-28,2022-10-29,7100,REDWOOD SKYLINE,Dining,10.40,
2022-10-27,2022-10-28,7100,SMCCD CSM BOOKSTORE,Merchandise,61.38,
2022-10-27,2022-10-28,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-28,2022-10-28,7100,APPLE.COM/BILL,Internet,14.99,
2022-10-28,2022-10-28,7100,APPLE.COM/BILL,Internet,0.99,
2022-10-27,2022-10-28,7100,REDWOOD SKYLINE,Dining,8.27,
2022-10-26,2022-10-27,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-26,2022-10-26,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,210.02
2022-10-25,2022-10-26,7100,MAJIKKU RAMEN,Dining,50.00,
2022-10-25,2022-10-26,7100,AMZN MKTP US*H83TL6XB2,Merchandise,10.90,
2022-10-25,2022-10-26,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-25,2022-10-26,7100,REDWOOD SKYLINE,Dining,8.99,
2022-10-24,2022-10-25,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-24,2022-10-25,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-24,2022-10-25,7100,NIJIYA MARKET #63,Merchandise,26.86,
2022-10-24,2022-10-25,7100,REDWOOD SKYLINE,Dining,6.74,
2022-10-23,2022-10-25,7100,IN N OUT BURGER 257,Dining,20.34,
2022-10-23,2022-10-24,7100,CHEVRON 0096377,Gas/Automotive,35.65,
2022-10-23,2022-10-24,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,755.01
2022-10-21,2022-10-24,7100,LVL UPROAR,Dining,47.75,
2022-10-21,2022-10-24,7100,LVL UPROAR,Dining,43.88,
2022-10-23,2022-10-24,7100,DD DOORDASH WINGSTOP,Dining,59.17,
2022-10-21,2022-10-24,7100,BETTERHELP  *JACOBS JE,Professional Services,320.00,
2022-10-21,2022-10-22,7100,SOURDOUGH & CO PACIFIC,Dining,15.00,
2022-10-21,2022-10-22,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-21,2022-10-22,7100,REDWOOD SKYLINE,Dining,6.12,
2022-10-21,2022-10-22,7100,REDWOOD SKYLINE,Dining,7.91,
2022-10-21,2022-10-22,7100,CHEVRON 0204974,Gas/Automotive,46.10,
2022-10-20,2022-10-21,7100,MCDONALDS  F6641,Dining,22.73,
2022-10-20,2022-10-21,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-20,2022-10-21,7100,REDWOOD SKYLINE,Dining,8.76,
2022-10-19,2022-10-21,7100,WANG DAE BAK,Dining,230.00,
2022-10-19,2022-10-20,7100,SMCCD CSM BOOKSTORE,Merchandise,13.18,
2022-10-19,2022-10-20,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-19,2022-10-20,7100,REDWOOD SKYLINE,Dining,6.74,
2022-10-18,2022-10-19,7100,SMCCD CSM BOOKSTORE,Merchandise,12.75,
2022-10-18,2022-10-19,7100,REDWOOD SKYLINE,Dining,7.46,
2022-10-17,2022-10-19,7100,IN N OUT BURGER 257,Dining,8.31,
2022-10-18,2022-10-19,7100,Amazon.com*HT4AN7GD2,Merchandise,39.50,
2022-10-17,2022-10-18,7100,SMCCD CSM BOOKSTORE,Merchandise,6.00,
2022-10-17,2022-10-18,7100,REDWOOD SKYLINE,Dining,11.96,
2022-10-17,2022-10-18,7100,FRG*TEAMFANSHOP,Merchandise,158.58,
2022-10-17,2022-10-18,7100,SANMATEOCOURT FINE PAY,Other,162.00,
2022-10-15,2022-10-17,7100,BURGERS AND BREW DAVIS,Dining,135.00,
2022-10-17,2022-10-17,7100,DOORDASH*PANDA EXPRESS,Dining,56.61,
2022-10-15,2022-10-17,7100,STARBUCKS STORE 05729,Dining,68.00,
2022-10-16,2022-10-17,7100,AAA INSURANCE,Insurance,289.41,
2022-10-14,2022-10-15,7100,MCDONALDS  F6641,Dining,12.79,
2022-10-14,2022-10-15,7100,REDWOOD SKYLINE,Dining,8.76,
2022-10-13,2022-10-15,7100,SMCCD CSM BOOKSTORE,Merchandise,7.51,
